protein	domains	numofdoms	mindnds	maxdnds	stdevdnds	domcount	bp	dnds	divergence	percentile
AGL	GDE_C,hDGE_amylase,hGDE_N,hGDE_central	4	1.33000000000000007105	3.39999999999999991118	0.832676407735922330389	4	3846	2.93,3.3,1.33,3.4 1657.28 1
CLTCL1	Clathrin-link,Clathrin_H_link,Clathrin_propel	3	0.5	4.75	1.74403746137136250738	12	1296	0.5,3.0,4.75 800.513 0.992366
CENPC	CENP-C_C,CENP-C_mid,CENP_C_N	3	1.87999999999999989342	4.5	1.207789532805925381	10	1872	2.0,1.88,4.5 592.377 0.984733
WRN	DNA_pol_A_exo1,HRDC,HTH_40,RQC	4	0.859999999999999986677	4.5	1.38471116121738546667	39	4553	1.45,0.86,4.5,2.05 588.428 0.977099
NAB1	NCD1,NCD2,Nab1	3	0.140000000000000013323	3.66999999999999992895	1.53397812529673593929	23	1975	0.14,0.79,3.67 464.979 0.969466
CCDC180	DUF4455,DUF4456,RBP_receptor	3	2.66000000000000014211	4.59999999999999964473	0.894066863022869862121	25	6033	2.75,4.6,2.66 418.567 0.961832
BAZ1B	WAC_Acf1_DNA_bd,WHIM1,WHIM2,WHIM3	4	0.359999999999999986677	3.20000000000000017764	1.11558000609548391147	34	3632	0.75,0.36,2.0,3.2 338.443 0.954198
AIFM1	AIF-MLS,AIF_C,Pyr_redox_2	3	0.829999999999999960032	2.89999999999999991118	0.854959388249263874116	70	10917	2.9,0.83,2.14 276.008 0.946565
GPHN	MoCF_biosynth,MoeA_C,MoeA_N	3	0.599999999999999977796	4	1.41945999121731736281	41	1984	1.67,4.0,0.6 233.539 0.938931
SRP54	SRP54,SRP54_N,SRP_SPB	3	0.93000000000000004885	3	0.959733759377510264876	19	2022	0.93,1.0,3.0 211.421 0.931298
GBE1	Alpha-amylase,Alpha-amylase_C,CBM_48	3	1.5	3.2200000000000001954	0.722403396079134507701	58	9720	3.22,2.0,1.5 208.232 0.923664
KIAA0100	Apt1,Fmp27,Fmp27_GFWDK	3	0.849999999999999977796	2.33000000000000007105	0.631558917811051667712	17	3762	0.85,2.33,1.2 206.845 0.916031
FANCI	FANCI_HD1,FANCI_HD2,FANCI_S1,FANCI_S1-cap,FANCI_S2,FANCI_S3,FANCI_S4	7	1.89999999999999991118	4.5	0.747957763731703417776	43	3943	3.0,2.63,4.5,3.0,2.5,1.9,2.57 178.324 0.908397
GARS	HGTP_anticodon,WHEP-TRS,tRNA-synt_2b	3	1.58000000000000007105	3.54999999999999982236	0.912615289520544048507	125	12314	1.58,3.55,1.65 177.11 0.900763
BBS2	BBS2_C,BBS2_Mid,BBS2_N	3	1.25	3	0.720940743442590847856	17	2135	3.0,2.33,1.25 158.448 0.89313
AOC1	Cu_amine_oxid,Cu_amine_oxidN2,Cu_amine_oxidN3	3	1.54000000000000003553	3	0.628065813961137919819	35	5930	1.85,1.54,3.0 155.362 0.885496
CHAF1A	CAF-1_p150,CAF1-p150_C2,CAF1-p150_N,CAF1A	4	0.599999999999999977796	2	0.517542268805167182677	12	2442	1.67,1.41,2.0,0.6 147.448 0.877863
ASPH	Asp-B-Hydro_N,Asp_Arg_Hydrox,TPR_16	3	1	2.52000000000000001776	0.623556109922933976542	66	10036	2.52,1.63,1.0 144.124 0.870229
XDH	Ald_Xan_dh_C,Ald_Xan_dh_C2,CO_deh_flav_C,FAD_binding_5,Fer2,Fer2_2	6	1.31000000000000005329	2.62999999999999989342	0.445682996459740743411	31	7056	2.15,1.93,2.63,1.71,1.31,1.43 133.905 0.862595
DNAH8	AAA_6,AAA_7,AAA_8,AAA_9,DHC_N1,DHC_N2,Dynein_heavy,MT	8	1.30000000000000004441	2.33999999999999985789	0.306713934310131997041	248	98131	1.3,2.19,2.12,1.75,1.76,1.95,2.34,2.08 126.218 0.854962
SQLE	FAD_binding_3,Pyr_redox,SE	3	1.29000000000000003553	3.5	0.952085430340506078117	78	4521	1.29,3.5,1.75 121.957 0.847328
PADI4	PAD,PAD_M,PAD_N	3	1.66999999999999992895	2.85000000000000008882	0.528288641642889245098	47	9151	1.67,2.72,2.85 121.374 0.839695
MTR	B12-binding_2,Met_synt_B12,Pterin_bind	3	1.8899999999999999023	3.5	0.73440830302737969415	19	1737	3.5,1.89,2.0 108.096 0.832061
DOCK11	DOCK-C2,DUF3398,Ded_cyto	3	1.03000000000000002665	2.87999999999999989342	0.755704233737570563179	142	10566	1.9,2.88,1.03 104.027 0.824427
FRYL	MOR2-PAG1_C,MOR2-PAG1_N,MOR2-PAG1_mid	3	0.589999999999999968914	1.82000000000000006217	0.516333225737023449042	54	8825	1.82,0.59,1.46 103.79 0.816794
LIG1	DNA_ligase_A_C,DNA_ligase_A_M,DNA_ligase_A_N	3	1.14999999999999991118	2.66999999999999992895	0.644584276017410195969	43	4446	1.54,1.15,2.67 101.303 0.80916
DBH	Cu2_monoox_C,Cu2_monooxygen,DOMON	3	1.52000000000000001776	2.33000000000000007105	0.358732335995640250204	19	6211	2.33,1.63,1.52 94.9868 0.801527
ASXL1	ASXH,HARE-HTH,PHD_3	3	1	2.66999999999999992895	0.764765759345086393317	29	2155	2.67,1.0,1.1 94.9061 0.793893
KIAA1033	WASH-7_C,WASH-7_N,WASH-7_mid	3	1.66999999999999992895	2.5	0.347658836600864606936	11	3597	2.5,2.25,1.67 94.3581 0.78626
EP300	Creb_binding,DUF902,KAT11,KIX,zf-TAZ	5	0.22000000000000000111	2	0.632025315948657184784	51	4248	1.0,2.0,0.62,0.4,0.22 93.7063 0.778626
UBA1	ThiF,UBACT,UBA_e1_C,UBA_e1_thiolCys	4	1.43999999999999994671	3	0.557000897665344885112	102	10342	2.11,1.44,2.33,3.0 88.1018 0.770992
ACOX3	ACOX,Acyl-CoA_dh_1,Acyl-CoA_dh_M	3	1.47999999999999998224	2.81000000000000005329	0.547255780132918312475	137	16438	2.81,1.48,2.0 87.3314 0.763359
MED12	Med12,Med12-LCEWAV,Med12-PQL	3	0.460000000000000019984	2	0.716720928178387173269	31	2224	0.5,0.46,2.0 79.1852 0.755725
VCP	AAA,CDC48_2,CDC48_N,Vps4_C	4	0.5	2	0.574151547938346995537	246	21472	1.29,0.5,2.0,1.77 75.1718 0.748092
NCBP1	MIF4G,MIF4G_like,MIF4G_like_2	3	1	2	0.427629122799963956592	55	9499	1.23,1.0,2.0 73.8554 0.740458
POMC	ACTH_domain,NPP,Op_neuropeptide	3	0	3	1.24721912892464703582	17	327	3.0,1.0,0.0 71.9719 0.732824
POLA1	DNA_pol_B,DNA_pol_B_exo1,DNA_pol_alpha_N,zf-DNA_Pol	4	0.25	2	0.64040514520106717189	50	3195	0.73,0.91,2.0,0.25 71.6133 0.725191
CPSF3	Beta-Casp,CPSF73-100_C,RMMBL	3	0.560000000000000053291	2.75	0.930244890099137022865	51	1767	2.75,1.11,0.56 70.5842 0.717557
POLR1A	RNA_pol_Rpb1_1,RNA_pol_Rpb1_2,RNA_pol_Rpb1_3,RNA_pol_Rpb1_4,RNA_pol_Rpb1_5	5	0.450000000000000011102	1.37999999999999989342	0.338797874845755131457	60	12832	0.96,0.52,1.38,0.45,0.96 67.3855 0.709924
NAT10	DUF1726,GNAT_acetyltr_2,Helicase_RecD,tRNA_bind_2	4	0.780000000000000026645	2.12999999999999989342	0.48543794660079880865	19	1953	1.5,1.27,2.13,0.78 67.3622 0.70229
MAT2A	S-AdoMet_synt_C,S-AdoMet_synt_M,S-AdoMet_synt_N	3	0.289999999999999980016	1.66999999999999992895	0.569736781329764574444	24	2016	0.8,1.67,0.29 66.0439 0.694656
POLR2B	RNA_pol_Rpb2_1,RNA_pol_Rpb2_3,RNA_pol_Rpb2_4,RNA_pol_Rpb2_5,RNA_pol_Rpb2_6,RNA_pol_Rpb2_7	6	0.359999999999999986677	2	0.512946282654323293393	128	9779	2.0,0.36,1.33,0.75,0.94,0.91 64.2688 0.687023
TOP2A	DNA_gyraseB,DNA_topoisoIV,DTHCT	3	0.599999999999999977796	2.10999999999999987566	0.634087270544573033959	32	2130	0.6,2.11,1.67 63.7317 0.679389
TKTL1	Transket_pyr,Transketolase_C,Transketolase_N	3	1.6100000000000000977	2.70999999999999996447	0.51620409400417055501	95	9971	1.61,2.71,1.62 59.5977 0.671756
APP	APP_Cu_bd,APP_E2,APP_N,APP_amyloid,Beta-APP	5	0.880000000000000004441	3	0.694809326362276213906	105	4122	3.0,1.57,1.75,0.88,1.5 57.8256 0.664122
PGM2	PGM_PMM_I,PGM_PMM_II,PGM_PMM_III,PGM_PMM_IV	4	1.07000000000000006217	2.4700000000000001954	0.538069465775563249288	76	5616	2.47,1.07,1.93,1.36 55.6647 0.656489
MSH5	MutS_III,MutS_IV,MutS_V	3	1.66999999999999992895	3.04999999999999982236	0.614401244211703057019	129	7977	2.88,1.67,3.05 52.4301 0.648855
GART	AIRS,AIRS_C,GARS_A,GARS_C,GARS_N	5	1	2.33000000000000007105	0.468205083270141375618	74	5521	2.0,1.48,2.0,2.33,1.0 46.4594 0.641221
CBLB	Cbl_N,Cbl_N2,Cbl_N3	3	2.39999999999999991118	3.5	0.463105459551781450944	33	2970	2.71,3.5,2.4 45.8474 0.633588
UGDH	UDPG_MGDP_dh,UDPG_MGDP_dh_C,UDPG_MGDP_dh_N	3	0.5	1.75	0.513701166914081408521	17	1203	0.5,1.75,1.25 45.4399 0.625954
SETMAR	HTH_32,HTH_Tnp_Tc3_2,Transposase_1	3	1.5	3	0.623609564462323517908	14	630	3.0,1.5,2.0 42.0936 0.618321
CNKSR2	CRIC_ras_sig,DUF1170,SAM_1	3	1.23999999999999999112	2.37999999999999989342	0.530471488394993695437	275	18986	1.27,2.38,1.24 41.7511 0.610687
GUSB	Glyco_hydro_2,Glyco_hydro_2_C,Glyco_hydro_2_N	3	0.650000000000000022204	1.80000000000000004441	0.510446427703785121643	25	1773	1.8,0.65,0.8 41.631 0.603053
SUPT16H	FACT-Spt16_Nlob,Rtt106,SPT16	3	0.25	0.829999999999999960032	0.248506650928210670592	8	2300	0.83,0.38,0.25 41.4385 0.59542
