BMS1	AAR2,DUF663,DUF647,AARP2CN	4	4729	19	1.21,16.0,1.71,2.86	1.21	16.0	6.12322831519	22540.541249	1
ZBP1	RHIM,z-alpha,wnt	3	19775	111	2.8,1.15,16.0	1.15	16.0	6.64567528548	17581.6279031	0.999611
AK7	Dpy-30,AAA_17,AAA_16	3	3550	23	2.1,3.06,15.0	2.1	15.0	5.86794683002	11683.5923948	0.999223
XPR1	SPX,EXOSC1,EXS	3	1803	6	8.0,1.0,0.25	0.25	8.0	3.49006526523	8127.92574456	0.998834
TRNT1	PolyA_pol,PolyA_pol_RNAbd,Pol_alpha_B_N	3	1346	5	1.45,1.0,9.0	1.0	9.0	3.6697714128	7903.21971461	0.998445
NNT	DUF3808,DUF3814,AlaDh_PNT_C,AlaDh_PNT_N,PNTB,Aida_N,PNRC	7	14485	54	2.0,10.0,2.0,1.62,0.33,2.0,1.47	0.33	10.0	3.00041833818	7782.74901126	0.998057
PNPO	PNMA,Pyridox_oxidase,Pyrid_oxidase_2,PNPOx_C	4	7823	40	1.85,2.5,11.0,1.5	1.5	11.0	3.93515803368	7311.37605814	0.997668
TCAIM	DUF4430,DUF4460,DUF4461	3	3047	4	1.67,6.0,2.38	1.67	6.0	1.89611884297	6254.11572898	0.997279
HPS3	HPS3_N,HPHLAWLY,HPS3_C,HPS3_Mid	4	5136	13	2.47,1.67,3.17,8.0	1.67	8.0	2.46676280781	6168.97151025	0.996891
MKI67	K1377,K167R,PP-binding,FHA,PP1_bind	5	14635	167	1.75,2.96,2.69,1.27,14.0	1.27	14.0	4.77257414819	5324.23656555	0.996502
UGGT2	Glyco_transf_8,UDP-g_GGTase,UDG	3	9282	55	1.81,1.32,9.5	1.32	9.5	3.74594002444	5171.21980381	0.996113
ORC4	AAA_12,ORC4_C,ORC3_N,AAA_16	4	8604	64	1.43,2.1,3.0,11.0	1.43	11.0	3.86101265862	4967.45099053	0.995725
ORC5	ORC4_C,ORC5_C,AAA_16	3	2853	27	2.1,11.0,1.35	1.35	11.0	4.38298477702	4469.25652738	0.995336
SDE2	Telethonin,Telomere_Sde2_2,Telomere_Sde2	3	1260	14	2.0,11.0,0.38	0.38	11.0	4.67153079836	4465.04913707	0.994948
CISD1	MitoNEET_N,zf-CCHH,zf-CDGSH,Mit_proteolip	4	2641	14	8.0,0.67,1.67,1.0	0.67	8.0	3.00370188268	4153.37521478	0.994559
SKIDA1	DUF4582,Ski_Sno,DUF4584	3	5885	28	7.5,1.8,0.81	0.81	7.5	2.94818588288	4145.42837606	0.99417
SUOX	Cyt-b5,Mnd1,Mo-co_dimer,Oxidored-like,Oxidored_molyb	5	5847	48	1.57,5.67,10.0,0.67,5.5	0.67	10.0	3.33787597133	3793.53150635	0.993782
C5orf34	DUF4519,DUF4520,DUF4523,DUF4524	4	2466	13	1.0,7.0,7.5,1.33	1.0	7.5	3.04986372646	3760.48197473	0.993393
HLCS	BPL_C,BP28CT,BPL_LplA_LipB	3	1699	18	2.33,11.0,1.78	1.78	11.0	4.22268740128	3674.85939721	0.993004
AKAP7	AKAP7_RIRII_bdg,AKAP2_C,AKAP7_NLS	3	3110	25	1.76,9.0,1.0	1.0	9.0	3.60547731468	3588.17102357	0.992616
PKN2	Pkinase_C,Pkinase,HPS3_N,HR1	4	282183	1811	8.0,1.45,1.11,1.05	1.05	8.0	2.94699317101	3191.36391449	0.992227
CWF19L2	CwfJ_C_1,CwfJ_C_2,Cupin_8	3	5165	38	1.8,2.8,9.0	1.8	9.0	3.18468557667	3116.63387434	0.991838
GGA2	GAS2,Alpha_adaptinC2,GAT,VHS	4	13690	187	0.97,11.0,1.63,1.2	0.97	11.0	4.22130903868	3099.63047603	0.99145
CLPS	Cohesin_load,Colipase,Colipase_C	3	1918	8	0.43,6.0,2.5	0.43	6.0	2.29878711981	3069.8175607	0.991061
C9orf3	Leuk-A4-hydro_C,Peptidase_M1,Peptidase_M8,Peptidase_MA_2	4	13431	107	1.53,1.5,1.94,9.0	1.5	9.0	3.1845044748	2997.97286923	0.990672
MTIF3	IF3_N,IF-2B,IF3_C	3	4468	20	1.73,6.0,7.0	1.73	7.0	2.28535919861	2690.59452099	0.990284
ZCCHC24	z-alpha,zf-CCHC,zf-CCHC_2,zf-3CxxC	4	3605	127	16.0,1.67,1.23,2.0	1.23	16.0	6.22694347172	2610.69998467	0.989895
GAS2	CH,GARS_N,GAS2	3	28783	500	1.33,2.0,11.0	1.33	11.0	4.40905381636	2454.35809457	0.989506
ERC1	Casein_kappa,RBD-FIP,Cast	3	6050	23	5.67,1.83,1.1	1.1	5.67	2.00453375017	2409.6674518	0.989118
TROVE2	DUF2181,TRM13,DUF2201,TROVE	4	4474	29	1.77,8.0,2.6,2.86	1.77	8.0	2.4537866146	2358.42908223	0.988729
DST	Spectrin,CH,Plectin,EF-hand_7,GAS2	5	110875	2152	1.33,1.39,11.0,1.3,1.6	1.3	11.0	3.83943016605	1918.80072059	0.98834
ERCC6-PGBD3	Tmpp129,DDE_Tnp_1_7,Tnp_zf-ribbon_2	3	5538	21	3.0,4.75,0.6	0.6	4.75	1.70114340633	1861.75564593	0.987952
CCKAR	7tm_1,CholecysA-Rec_N,Chitin_synth_2	3	207593	932	1.52,0.63,5.0	0.63	5.0	1.88560040541	1835.38801983	0.987563
NPLOC4	NPIP,UN_NPL4,zf-NF-X1,UNC45-central,NPL4,zf-NPL4	6	14912	169	1.0,0.41,1.9,0.5,8.0,0.36	0.36	8.0	2.72252589009	1835.3317065	0.987175
ERGIC2	ERG4_ERG24,COP-gamma_platf,ERGIC_N,COPIIcoated_ERV	4	13119	95	6.5,1.77,1.78,0.69	0.69	6.5	2.24669201272	1802.58934854	0.986786
ZC3HC1	Rrp15p,zf-C3H1,Rsm1,zf-C3HC	4	1180	8	7.0,2.33,3.0,1.33	1.33	7.0	2.15342169581	1800.96039975	0.986397
NOC3L	NOC3p,CBF,CBAH,NOB1_Zn_bind	4	4557	41	2.21,1.57,3.75,8.0	1.57	8.0	2.50580700574	1790.82753748	0.986009
RFPL2	RDM,zf-C3HC4_4,PRY,SPRY	4	44510	584	1.61,9.0,1.64,2.12	1.61	9.0	3.12857295744	1762.11996825	0.98562
COPG1	COP-gamma_platf,COMPASS-Shg1,Adaptin_N	3	16523	144	1.35,0.64,6.5	0.64	6.5	2.6112193831	1755.76904375	0.985231
GSG2	Pkinase,DUF3595,DUF3635	3	271013	1689	1.42,6.0,1.11	1.11	6.0	2.23568532868	1754.20364904	0.984843
NIPBL	Nipped-B_C,Ninjurin,Cofilin_ADF	3	10898	48	0.96,1.15,5.0	0.96	5.0	1.86130778397	1707.28146267	0.984454
OLFM3	Nnf1,Noelin-1,OLF,OHCU_decarbox	4	10602	82	2.25,1.69,7.0,1.28	1.28	7.0	2.3035244735	1703.58107557	0.984065
EXOSC1	EVI2A,ECR1_N,ECIST_Cterm,EXOSC1	4	1374	18	5.0,0.5,2.0,8.0	0.5	8.0	2.88042965545	1649.04597775	0.983677
APOBEC3B	APH,APOBEC_C,APOBEC_N	3	9329	73	1.48,6.75,1.67	1.48	6.75	2.44075125047	1643.79013083	0.983288
RFPL1	RDM,RDD,zf-C3HC4_4,PRY,SPRY	5	44993	586	1.61,2.0,9.0,1.64,2.12	1.61	9.0	2.86986828966	1628.37242567	0.982899
FTSJ3	DUF3381,Spb1_C,FtsJ,DUF3377,Spatacsin_C	5	4152	34	1.24,2.0,1.6,3.18,7.25	1.24	7.25	2.1971763698	1612.5671908	0.982511
MTR	Pterin_bind,Ax_dynein_light,S-methyl_trans,B12-binding,S-AdoMet_synt_N,Met_synt_B12,Met_10,Pterin_4a,B12-binding_2	9	8532	70	3.08,1.78,7.0,4.0,2.13,0.5,2.0,0.29,2.35	0.29	7.0	1.90333625219	1556.64953576	0.982122
RLBP1	CRAL_TRIO,CR6_interact,CRAL_TRIO_N,CRAL_TRIO_2	4	12076	168	8.5,1.68,1.33,2.05	1.33	8.5	2.96122440892	1526.17487231	0.981733
NBAS	NatB_MDM20,Sec34,Nbas_N,Sec39	4	4547	13	1.2,1.57,4.5,1.92	1.2	4.5	1.29684954794	1496.87362706	0.981345
PDE8A	PDEase_I,PAS,Response_reg,Resistin	4	17811	186	1.47,1.23,7.0,1.0	1.0	7.0	2.5025636855	1437.84392911	0.980956
TMF1	TMEM89,TMF_DNA_bd,TMF_TATA_bd	3	975	8	6.0,6.0,1.0	1.0	6.0	2.35702260396	1436.31064929	0.980567
APOB	Apo-CIII,Vitellogenin_N,DUF108,DUF1908,Vinculin,ApoB100_C,DUF1943,DUF1081	8	28140	144	1.33,0.0,1.4,1.8,0.66,2.36,1.56,5.1	0.0	5.1	1.42202265717	1417.2233307	0.980179
SVEP1	EGF_CA,hEGF,Pentaxin,Sushi,GCC2_GCC3,VWA,HYR,EGF,HYLS1_C	9	130766	4010	1.19,1.53,1.68,13.0,3.33,1.43,1.77,1.65,0.97	0.97	13.0	3.60843148442	1415.58045448	0.97979
NFX1	zf-NF-X1,R3H,zf-NADH-PPase	3	3501	60	1.48,0.67,8.0	0.67	8.0	3.28118203633	1403.37960344	0.979401
SPO11	TP6A_N,TP53IP5,SPO11_like,SPC25	4	2847	17	0.75,5.0,4.71,1.33	0.75	5.0	1.92122844815	1367.43434797	0.979013
SYN3	Synapsin_C,Synapsin_N,Synapsin,Synaphin	4	10290	53	1.55,1.22,0.85,5.0	0.85	5.0	1.66112160903	1338.40955908	0.978624
UBR5	E3_UbLigase_EDD,E2_bind,HECT	3	20354	122	5.0,1.0,0.93	0.93	5.0	1.90233190234	1291.72670991	0.978236
KIF11	Kinesin,Microtub_bind,Microtub_assoc	3	33487	226	1.47,3.0,6.0	1.47	6.0	1.88154192087	1262.93181504	0.977847
DDB1	CPSF_A,MMS19_N,CPSF73-100_C,MMS1_N	4	10958	57	1.11,0.89,4.75,1.04	0.89	4.75	1.61997492265	1202.13166458	0.977458
GJA8	Connexin,Connexin_CCC,Complex1_LYR_2,Connexin43,Connexin50	5	11057	76	1.6,1.49,0.0,5.0,2.19	0.0	5.0	1.639543839	1192.66027815	0.97707
DIS3	PIN_4,RNA_pol_Rpc82,RNB	3	5982	27	3.83,5.33,1.71	1.71	5.33	1.4850664033	1191.06945752	0.976681
NAT10	GN3L_Grn1,tRNA_bind,Helicase_RecD,GNAT_acetyltr_2,Helicase_C_4,DUF1726,tRNA_bind_2,DUF1713	8	4225	33	3.0,1.0,6.0,1.5,0.48,2.25,3.0,0.78	0.48	6.0	1.68100741744	1188.01378756	0.976292
ALKBH8	DUF1875,2OG-FeII_Oxy_2,2OG-FeII_Oxy,Methyltransf_11,DUF1891	5	9359	71	1.0,1.66,5.5,0.5,1.94	0.5	5.5	1.76336042827	1162.20353861	0.975904
CDC42BPG	Pkinase_C,CMS1,DMP1,C1_1,DMPK_coil,PH,Pkinase,CNH	8	355225	2895	1.23,6.5,1.1,2.32,1.45,1.4,1.11,1.05	1.05	6.5	1.7359867511	1160.90815905	0.975515
NRF1	Nrf1_DNA-bind,Nrf1_activ_bdg,Nrap	3	4021	13	3.0,0.0,1.0	0.0	3.0	1.24721912892	1157.32341171	0.975126
N4BP2	AAA_33,DUF1767,Smr,DUF1771,Smg4_UPF3	5	5049	45	1.08,1.75,6.0,1.0,3.0	1.0	6.0	1.86049025797	1043.73503472	0.974738
PITPNM1	DDHD,LNS2,IPPT,IP_trans,LNP1	5	14059	91	1.49,4.8,0.82,1.0,0.6	0.6	4.8	1.55689948295	1010.23614603	0.974349
RBL2	DUF3451,DUF3452,RB_B,RB_A,RBP_receptor	5	9577	81	1.37,6.0,1.33,3.17,1.36	1.33	6.0	1.81866544477	1004.1860045	0.97396
TRPM7	Alpha_kinase,Alpha_adaptin_C,Ion_trans	3	103243	741	5.0,1.69,0.94	0.94	5.0	1.7639034995	997.799456594	0.973572
BUB1	Mad3_BUB1_I,Pkinase,Macscav_rec	3	269086	1691	2.5,5.0,1.11	1.11	5.0	1.60949267369	996.290755977	0.973183
POLR3C	RNA_pol_Rpc4,HTH_9,RNA_pol_Rpc82	3	1162	10	2.0,0.86,5.33	0.86	5.33	1.89647040578	985.053279348	0.972794
EPHA2	Pkinase_Tyr,Ephrin,fn3,SAM_1,EphA2_TM,Ependymin,Ephrin_lbd,SAMP	8	243516	3762	1.11,1.45,1.71,1.19,1.22,8.0,1.13,1.74	1.11	8.0	2.20701686389	984.31382226	0.972406
HLTF	Helicase_C,zf-RING_2,SNF2_N,HIRAN,HIN	5	58401	790	1.22,7.0,1.35,1.2,1.37	1.2	7.0	2.28700153039	980.590408838	0.972017
SPG20	MIT,Senescence,Sen15	3	2563	53	1.52,8.0,1.44	1.44	8.0	3.0737309938	975.084902705	0.971628
LTK	Pkinase_Tyr,Gly_acyl_tr_N,Gly_rich	3	94279	589	4.6,0.96,1.22	0.96	4.6	1.65803096071	966.036847943	0.97124
GNL3	GM_CSF,GN3L_Grn1,MMR_HSR1	3	7068	68	2.0,6.0,1.43	1.43	6.0	2.03332786885	965.853463131	0.970851
ATP5J2-PTCD1	WIF,PPR_2,PPR_3,WRW	4	4142	36	4.0,5.0,0.6,0.93	0.6	5.0	1.90425018052	964.016074719	0.970462
ATP6V1H	V-ATPase_H_C,V-ATPase_G,V-ATPase_H_N	3	2647	33	6.0,0.63,2.4	0.63	6.0	2.23432316373	962.410328344	0.970074
HSCB	DnaJ,HSCB_C,HSBP1	3	12820	164	1.57,5.0,7.0	1.57	7.0	2.24226571921	951.767967105	0.969685
FAM69A	PIN_4,PIP49_C,PIP49_N	3	7697	28	3.83,0.98,1.68	0.98	3.83	1.21266465091	950.055624334	0.969297
PPP2R1B	HD_4,HEAT,HEAT_2	3	8429	161	8.0,1.69,2.15	1.69	8.0	2.87228519166	948.870830844	0.968908
DFFB	DFF-C,CIDE-N,DFF40	3	3828	21	4.44,2.0,0.92	0.92	4.44	1.47235261477	944.728745185	0.968519
RIOK2	Rio2_N,RIO1,RimK	3	2636	16	2.63,2.0,5.5	2.0	5.5	1.5232932161	878.368950735	0.968131
ATM	FATC,TAN,PI3_PI4_kinase,FAT,TAFII55_N	5	21541	117	1.11,3.0,1.27,1.67,4.67	1.11	4.67	1.33948646876	877.947057813	0.967742
KCNMA1	BK_channel_a,TrkA_N,Ion_trans,Trichoplein	4	104110	784	0.3,0.94,4.25,0.4	0.3	4.25	1.62196447248	850.775189872	0.967353
MOCS3	MoeZ_MoeB,ThiF,Rhodanese,MoeA_N	4	16190	139	0.6,5.0,1.56,1.81	0.6	5.0	1.65487726131	848.106738034	0.966965
CENPC	CENP-X,CENP-C_mid,CENP-C_C,CENP_C_N,CENP-B_dimeris	5	2511	14	0.8,2.0,2.14,1.33,4.5	0.8	4.5	1.26806308991	841.513839247	0.966576
MAST1	Pkinase,DUF1907,DUF1908,PDZ	4	312468	2785	5.0,0.66,1.48,1.11	0.66	5.0	1.72064486458	837.840443241	0.966187
GTF2H1	BSD,TFIIF_beta,TFIIH_BTF_p62_N	3	3786	26	2.6,1.31,5.0	1.31	5.0	1.52898659249	821.556252018	0.965799
UBN1	HUN,UBN_AB,UBA_e1_thiolCys,HTH_psq	4	3636	29	0.5,0.67,4.5,1.64	0.5	4.5	1.60308101792	803.972769812	0.96541
MVP	Vault,Vasohibin,MVP_shoulder,MULE	4	3243	43	6.0,1.67,0.96,1.29	0.96	6.0	2.04774265961	778.366986126	0.965021
NDUFS1	Fer2_3,Mog1,NADH-G_4Fe-4S_3,DUF1981,DUF1982,NACHT,Molybdopterin,Fer2_4	8	12780	123	1.0,6.0,2.0,3.0,2.0,2.38,1.88,1.0	1.0	6.0	1.4929145153	775.587296974	0.964633
NSMCE4A	Nse4_C,Nrf1_activ_bdg,Nse4-Nse3_bdg	3	1389	9	1.0,4.5,2.5	1.0	4.5	1.43372087784	774.448227513	0.964244
EIF4G3	MA3,MIF,MIF4G,Vps8,W2,M60-like	6	16000	166	5.5,2.3,1.8,1.27,2.4,0.47	0.47	5.5	1.57634598571	764.242921265	0.963855
NUP50	NUP50,NUFIP2,Ran_BP1	3	9769	71	1.68,5.0,1.54	1.54	5.0	1.5990830706	761.27029729	0.963467
VPS36	EAP30,Vps36_ESCRT-II,Vps35,EAF	4	3429	18	3.5,1.25,1.38,0.25	0.25	3.5	1.18356453141	732.774390506	0.963078
